segmentnr	original	folio	analyzed
PA_pvr_18:13.1	Mahallakaṁ vihāraṁ kārāpentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	13	
PA_pvr_18:13.2	Mahallakaṁ vihāraṁ kārāpentassa saṅghādiseso chahi samuṭṭhānehi samuṭṭhāti …pe….	13	
PA_pvr_18:14.1	Bhikkhuṁ amūlakena pārājikena dhammena anuddhaṁsentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	14	
PA_pvr_18:14.2	Bhikkhuṁ amūlakena pārājikena dhammena anuddhaṁsentassa saṅghādiseso tīhi samuṭṭhānehi samuṭṭhāti …pe….	14	
PA_pvr_18:15.1	Bhikkhuṁ aññabhāgiyassa adhikaraṇassa kiñci desaṁ lesamattaṁ upādāya pārājikena dhammena anuddhaṁsentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	15	
PA_pvr_18:15.2	Bhikkhuṁ aññabhāgiyassa adhikaraṇassa kiñci desaṁ lesamattaṁ upādāya pārājikena dhammena anuddhaṁsentassa saṅghādiseso tīhi samuṭṭhānehi samuṭṭhāti …pe….	15	
PA_pvr_18:16.1	Saṅghabhedakassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	16	
PA_pvr_18:16.2	Saṅghabhedakassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	16	
PA_pvr_18:16.3	kāyato ca vācato ca cittato ca samuṭṭhāti.	16	
PA_pvr_18:17.1	Bhedakānuvattakānaṁ bhikkhūnaṁ yāvatatiyaṁ samanubhāsanāya na paṭinissajjantānaṁ saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	17	
PA_pvr_18:17.2	Bhedakānuvattakānaṁ bhikkhūnaṁ yāvatatiyaṁ samanubhāsanāya na paṭinissajjantānaṁ saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	17	
PA_pvr_18:17.3	kāyato ca vācato ca cittato ca samuṭṭhāti.	17	
PA_pvr_18:18.1	Dubbacassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	18	
PA_pvr_18:18.2	Dubbacassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	18	
PA_pvr_18:18.3	kāyato ca vācato ca cittato ca samuṭṭhāti.	18	
PA_pvr_18:19.1	Kuladūsakassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	19	
PA_pvr_18:19.2	Kuladūsakassa bhikkhuno yāvatatiyaṁ samanubhāsanāya na paṭinissajjantassa saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	19	
PA_pvr_18:19.3	kāyato ca vācato ca cittato ca samuṭṭhāti.	19	
PA_pvr_18:20.1	Terasa saṅghādisesā niṭṭhitā.	20	
PA_pvr_18:21.0	3. Sekhiya	21	
PA_pvr_18:21.1	…pe…	21	
PA_pvr_18:21.2	Anādariyaṁ paṭicca udake uccāraṁ vā passāvaṁ vā kheḷaṁ vā karontassa dukkaṭaṁ katihi samuṭṭhānehi samuṭṭhāti?	21	
PA_pvr_18:21.3	Anādariyaṁ paṭicca udake uccāraṁ vā passāvaṁ vā kheḷaṁ vā karontassa dukkaṭaṁ ekena samuṭṭhānena samuṭṭhāti—	21	
PA_pvr_18:21.4	kāyato ca cittato ca samuṭṭhāti, na vācato.	21	
PA_pvr_18:22.1	Sekhiyā niṭṭhitā.	22	
PA_pvr_18:23.0	4. Pārājikādi	23	
PA_pvr_18:23.1	Cattāro pārājikā katihi samuṭṭhānehi samuṭṭhanti?	23	
PA_pvr_18:23.2	Cattāro pārājikā tīhi samuṭṭhānehi samuṭṭhanti—	23	
PA_pvr_18:23.3	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	23	
PA_pvr_18:23.4	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	23	
PA_pvr_18:23.5	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	23	
PA_pvr_18:24.1	Terasa saṅghādisesā katihi samuṭṭhānehi samuṭṭhanti?	24	
PA_pvr_18:24.2	Terasa saṅghādisesā chahi samuṭṭhānehi samuṭṭhanti—	24	
PA_pvr_18:24.3	siyā kāyato samuṭṭhanti, na vācato na cittato;	24	
PA_pvr_18:24.4	siyā vācato samuṭṭhanti, na kāyato na cittato;	24	
PA_pvr_18:24.5	siyā kāyato ca vācato ca samuṭṭhanti, na cittato;	24	
PA_pvr_18:24.6	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	24	
PA_pvr_18:24.7	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	24	
PA_pvr_18:24.8	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	24	
PA_pvr_18:25.1	Dve aniyatā katihi samuṭṭhānehi samuṭṭhanti?	25	
PA_pvr_18:25.2	Dve aniyatā tīhi samuṭṭhānehi samuṭṭhanti—	25	
PA_pvr_18:25.3	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	25	
PA_pvr_18:25.4	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	25	
PA_pvr_18:25.5	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	25	
PA_pvr_18:26.1	Tiṁsa nissaggiyā pācittiyā katihi samuṭṭhānehi samuṭṭhanti?	26	
PA_pvr_18:26.2	Tiṁsa nissaggiyā pācittiyā chahi samuṭṭhānehi samuṭṭhanti—	26	
PA_pvr_18:26.3	siyā kāyato samuṭṭhanti, na vācato na cittato;	26	
PA_pvr_18:26.4	siyā vācato samuṭṭhanti, na kāyato na cittato;	26	
PA_pvr_18:26.5	siyā kāyato ca vācato ca samuṭṭhanti, na cittato;	26	
PA_pvr_18:26.6	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	26	
PA_pvr_18:26.7	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	26	
PA_pvr_18:26.8	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	26	
PA_pvr_18:27.1	Dvenavuti pācittiyā katihi samuṭṭhānehi samuṭṭhanti?	27	
PA_pvr_18:27.2	Dvenavuti pācittiyā chahi samuṭṭhānehi samuṭṭhanti—	27	
PA_pvr_18:27.3	siyā kāyato samuṭṭhanti, na vācato na cittato;	27	
PA_pvr_18:27.4	siyā vācato samuṭṭhanti, na kāyato na cittato;	27	
PA_pvr_18:27.5	siyā kāyato ca vācato ca samuṭṭhanti, na cittato;	27	
PA_pvr_18:27.6	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	27	
PA_pvr_18:27.7	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	27	
