segmentnr	original	folio	analyzed
PA_patthana_17.15:0.1	Paṭṭhānapakaraṇa	0	
PA_patthana_17.15:0.2	Dhammānulomapaccanīya (3), Tikatikapaṭṭhānapāḷi (5)	0	
PA_patthana_17.15:0.3	17.15. Kusalattika, Maggārammaṇattika	0	
PA_patthana_17.15:1.1	Kusalaṁ maggārammaṇaṁ dhammaṁ paṭicca nakusalo namaggārammaṇo dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā cha, adhipatiyā cha …pe… avigate cha.	1	
PA_patthana_17.15:2.1	Kusalaṁ maggahetukaṁ dhammaṁ paṭicca nakusalo namaggahetuko dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā tīṇi, adhipatiyā tīṇi …pe… avigate tīṇi.	2	
PA_patthana_17.15:3.1	Kusalaṁ maggādhipatiṁ dhammaṁ paṭicca nakusalo namaggādhipati dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā cha, adhipatiyā cha …pe… avigate cha.	3	
