segmentnr	original	folio	analyzed
PA_patthana_23.9:0.1	Paṭṭhānapakaraṇa	0	
PA_patthana_23.9:0.2	Dhammapaccanīyānuloma (4), Tikatikapaṭṭhānapāḷi (5)	0	
PA_patthana_23.9:0.3	23.9. Kusalattika, Ācayagāmittika	0	
PA_patthana_23.9:1.1	Nakusalaṁ naācayagāmiṁ dhammaṁ paccayā kusalo ācayagāmī dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā cha …pe… avigate cha.	1	
PA_patthana_23.9:2.1	Nakusalaṁ naapacayagāmiṁ dhammaṁ paccayā kusalo apacayagāmī dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā tīṇi …pe… avigate tīṇi.	2	
PA_patthana_23.9:3.1_0	Nakusalaṁ nanevācayagāmināpacayagāmiṁ dhammaṁ paṭicca abyākato nevācayagāmināpacayagāmī	3	
PA_patthana_23.9:3.1_1	dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā pañca, adhipatiyā pañca …pe… avigate pañca.	3	
