segmentnr	original	folio	analyzed
PA_ds_1.3:64.1	Vipassanā ca. (1363)	64	
PA_ds_1.3:65.0	33. Samathanimittaduka	65	
PA_ds_1.3:65.1	Samathanimittañca. (1364)	65	
PA_ds_1.3:66.1	Paggāhanimittañca. (1365)	66	
PA_ds_1.3:67.0	34. Paggāhaduka	67	
PA_ds_1.3:67.1	Paggāho ca. (1366)	67	
PA_ds_1.3:68.1	Avikkhepo ca. (1367)	68	
PA_ds_1.3:69.0	35. Sīlavipattiduka	69	
PA_ds_1.3:69.1	Sīlavipatti ca. (1368)	69	
PA_ds_1.3:70.1	Diṭṭhivipatti ca. (1369)	70	
PA_ds_1.3:71.0	36. Sīlasampadāduka	71	
PA_ds_1.3:71.1	Sīlasampadā ca. (1370)	71	
PA_ds_1.3:72.1	Diṭṭhisampadā ca. (1371)	72	
PA_ds_1.3:73.0	37. Sīlavisuddhiduka	73	
PA_ds_1.3:73.1	Sīlavisuddhi ca. (1372)	73	
PA_ds_1.3:74.1	Diṭṭhivisuddhi ca. (1373)	74	
PA_ds_1.3:75.0	38. Diṭṭhivisuddhikhopanaduka	75	
PA_ds_1.3:75.1	Diṭṭhivisuddhikhopana. (1374)	75	
PA_ds_1.3:76.1	Yathādiṭṭhissa ca padhānaṁ. (1375)	76	
PA_ds_1.3:77.0	39. Saṁvegasaṁvejananiyaṭṭhānaduka	77	
PA_ds_1.3:77.1	Saṁvego ca saṁvejaniyesu ṭhānesu. (1376)	77	
PA_ds_1.3:78.1	Saṁviggassa ca yoniso padhānaṁ. (1377)	78	
PA_ds_1.3:79.0	40. Asantuṭṭhitākusaladhammaduka	79	
PA_ds_1.3:79.1	Asantuṭṭhitā ca kusalesu dhammesu. (1378)	79	
PA_ds_1.3:80.1	Appaṭivānitā ca padhānasmiṁ. (1379)	80	
PA_ds_1.3:81.0	41. Vijjāduka	81	
PA_ds_1.3:81.1	Vijjā ca. (1380)	81	
PA_ds_1.3:82.1	Vimutti ca. (1381)	82	
PA_ds_1.3:83.0	42. Khayeñāṇaduka	83	
PA_ds_1.3:83.1	Khayeñāṇaṁ. (1382)	83	
PA_ds_1.3:84.1	Anuppāde ñāṇanti. (1383)	84	
PA_ds_1.3:84.2	Suttantikadukamātikā.	84	
PA_ds_1.3:84.3	Mātikā niṭṭhitā.	84	
